author,quote,tag_name
Dr. Seuss,"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!",philosophy
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",authors
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",books
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",literature
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",reading
J.D. Salinger,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",writing
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.,humor
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.,insanity
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.,lies
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.,lying
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.,self-indulgence
George Carlin,The reason I talk to myself is because I’m the only one whose answers I accept.,truth
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",beatles
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",connection
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",dreamers
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",dreaming
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",dreams
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",hope
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",inspirational
John Lennon,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",peace
W.C. Fields,I am free of all prejudice. I hate everyone equally. ,humor
W.C. Fields,I am free of all prejudice. I hate everyone equally. ,sinister
Ayn Rand,The question isn't who is going to let me; it's who is going to stop me.,
Mark Twain,′Classic′ - a book which people praise and don't read.,books
Mark Twain,′Classic′ - a book which people praise and don't read.,classic
Mark Twain,′Classic′ - a book which people praise and don't read.,reading
Albert Einstein,Anyone who has never made a mistake has never tried anything new.,mistakes
Jane Austen,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",humor
Jane Austen,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",love
Jane Austen,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",romantic
Jane Austen,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",women
J.K. Rowling,"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.",integrity
Jane Austen,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.",books
Jane Austen,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.",library
Jane Austen,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.",reading
Jane Austen,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.",elizabeth-bennet
Jane Austen,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.",jane-austen
C.S. Lewis,Some day you will be old enough to start reading fairy tales again.,age
C.S. Lewis,Some day you will be old enough to start reading fairy tales again.,fairytales
C.S. Lewis,Some day you will be old enough to start reading fairy tales again.,growing-up
C.S. Lewis,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.,god
Mark Twain,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,death
Mark Twain,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,life
Mark Twain,A lie can travel half way around the world while the truth is putting on its shoes.,misattributed-mark-twain
Mark Twain,A lie can travel half way around the world while the truth is putting on its shoes.,truth
C.S. Lewis,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",christianity
C.S. Lewis,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",faith
C.S. Lewis,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",religion
C.S. Lewis,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",sun
J.K. Rowling,"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.",truth
Jimi Hendrix,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",death
Jimi Hendrix,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",life
J.M. Barrie,To die will be an awfully big adventure.,adventure
J.M. Barrie,To die will be an awfully big adventure.,love
E.E. Cummings,It takes courage to grow up and become who you really are.,courage
Khaled Hosseini,But better to get hurt by the truth than comforted with a lie.,life
Harper Lee,You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,better-life-empathy
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",books
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",children
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",difficult
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",grown-ups
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",write
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",writers
Madeleine L'Engle,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",writing
Mark Twain,Never tell the truth to people who are not worthy of it.,truth
Dr. Seuss,"A person's a person, no matter how small.",inspirational
George R.R. Martin,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",books
George R.R. Martin,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",mind
